({'dim': 140, 'wordNgrams': 5, 'ws': 7}, 0.6567770778297094)
({'dim': 368, 'wordNgrams': 4, 'ws': 3}, 0.6625685836212152)
({'dim': 588, 'wordNgrams': 9, 'ws': 7}, 0.6506807559439138)
({'dim': 486, 'wordNgrams': 3, 'ws': 5}, 0.6714082503556188)
({'dim': 687, 'wordNgrams': 2, 'ws': 6}, 0.6780125990652306)
({'dim': 759, 'wordNgrams': 8, 'ws': 9}, 0.6509855720382036)
({'dim': 235, 'wordNgrams': 2, 'ws': 9}, 0.6763869132290184)
({'dim': 630, 'wordNgrams': 6, 'ws': 4}, 0.657386710018289)
({'dim': 514, 'wordNgrams': 1, 'ws': 8}, 0.644482828693355)
({'dim': 410, 'wordNgrams': 7, 'ws': 6}, 0.6540337329811015)
({'dim': 581, 'wordNgrams': 9, 'ws': 4}, 0.6508839666734404)
({'dim': 502, 'wordNgrams': 4, 'ws': 6}, 0.662060556797399)
({'dim': 405, 'wordNgrams': 3, 'ws': 1}, 0.6723226986384881)
({'dim': 823, 'wordNgrams': 5, 'ws': 4}, 0.6574883153830522)
({'dim': 925, 'wordNgrams': 6, 'ws': 1}, 0.6547449705344442)
({'dim': 896, 'wordNgrams': 7, 'ws': 1}, 0.6543385490753911)
({'dim': 674, 'wordNgrams': 5, 'ws': 4}, 0.655456208087787)
